"state","location","males_2012","females_2012","diff"
"Alabama","Alabama",51,36.5,14.5
"Alaska","Alaska",65,54.2,10.8
"Arizona","Arizona",61.2,50.6,10.6
"Arkansas","Arkansas",52.2,35.5,16.7
"California","California",63.8,49.4,14.4
"Colorado","Colorado",69.3,57.8,11.5
"Connecticut","Connecticut",70.9,59.8,11.1
"Delaware","Delaware",64.3,52.5,11.8
"District Of Columbia","District Of Columbia",72.1,58.3,13.8
"Florida","Florida",65,51.4,13.6
"Georgia","Georgia",57.9,42.5,15.4
"Hawaii","Hawaii",63,43.9,19.1
"Idaho","Idaho",54.9,45.3,9.6
"Illinois","Illinois",67.7,54.8,12.9
"Indiana","Indiana",60.1,44.3,15.8
"Iowa","Iowa",69.9,54.7,15.2
"Kansas","Kansas",61.3,45.6,15.7
"Kentucky","Kentucky",50.4,36,14.4
"Louisiana","Louisiana",60.3,43.4,16.9
"Maine","Maine",69.2,57.2,12
"Maryland","Maryland",66.4,53.2,13.2
"Massachusetts","Massachusetts",70.6,60.1,10.5
"Michigan","Michigan",66.3,52.8,13.5
"Minnesota","Minnesota",72.1,61.3,10.8
"Mississippi","Mississippi",51.2,35.3,15.9
"Missouri","Missouri",61,46.4,14.6
"Montana","Montana",67.7,57.4,10.3
"Nebraska","Nebraska",70.8,55.8,15
"Nevada","Nevada",62.8,50.1,12.7
"New Hampshire","New Hampshire",72.6,62.5,10.1
"New Jersey","New Jersey",68.2,55.6,12.6
"New Mexico","New Mexico",56.1,42,14.1
"New York","New York",66.5,53.6,12.9
"North Carolina","North Carolina",56,40.4,15.6
"North Dakota","North Dakota",72.1,57.2,14.9
"Ohio","Ohio",63.8,48.8,15
"Oklahoma","Oklahoma",54.4,38.5,15.9
"Oregon","Oregon",66.6,57,9.59999999999999
"Pennsylvania","Pennsylvania",66.5,52.1,14.4
"Rhode Island","Rhode Island",70,59.3,10.7
"South Carolina","South Carolina",59.1,41.2,17.9
"South Dakota","South Dakota",67.1,52.9,14.2
"Tennessee","Tennessee",47.9,34.7,13.2
"Texas","Texas",60.9,44.2,16.7
"Utah","Utah",32.6,24,8.6
"Vermont","Vermont",74.2,62.9,11.3
"Virginia","Virginia",62.5,49,13.5
"Washington","Washington",66.7,57.2,9.5
"West Virginia","West Virginia",44.3,26.6,17.7
"Wisconsin","Wisconsin",72.4,61.5,10.9
"Wyoming","Wyoming",64.2,50.9,13.3
